MARC-Feld	Vorkommen	Mehrfachbelegung	Feld im Katalog	Reihenfolge	Trennzeichen davor	Kommentar	Umsetzung
651 : z	32	23					
653 : 0	2814	2813					
653 : 2	23212	5833					
653 : A	1440	223	Schlagwoerter	3	␟		07_6-8.json
653 : a	76480	58262					
653 : f	2	0				löschen	07_6-2.json
653 : g	8	4				löschen	07_6-2.json
653 : h	5	1				löschen	07_6-2.json
653 : s	80	52					
653 : S	88	60					
653 : t	4	0				löschen	07_6-2.json
653 : x	2	0				löschen	07_6-2.json
655 : 0	1770	1769					
655 : 2	44529	19227					
655 : a	48848	20107	Schlagwoerter	4	␟		07_6-8.json
655 : x	8	0				löschen	07_6-2.json
700 : 0	53650	45918					
700 : 2	7370	79					
700 : 4	30093	9619					
700 : 5	4	0				löschen	07_6-2.json
700 : 6	8	1				löschen	07_6-2.json
700 : 9	4272	81					
700 : a	110379	47712	Beitragende	Urheber:6		gleichzeitig Urheber, wenn Urheber 1-5 leer	07_6-8.json
700 : b	12	1					
700 : c	234	8					
700 : d	7854	368					
700 : e	51512	19160					
700 : t	2	0				löschen	07_6-2.json
700 : v	2	0				löschen	07_6-2.json
700 : w	2	0				löschen	07_6-2.json
710 : 0	30873	30618					
710 : 2	239	10					
710 : 4	1969	107					
710 : 9	5	1				löschen	07_6-2.json
710 : a	39415	7407	Urheber	7		wenn Urheber 1-6 leer	07_6-8.json
710 : b	5466	537	Urheber	8	.	wenn Urheber 1-6 leer	07_6-8.json
710 : c	4206	140					
710 : d	4252	141					
710 : e	1978	107					
710 : g	5816	834					
710 : n	1692	41					
711 : 0	5	0				löschen	07_6-2.json
711 : 2	5	0				löschen	07_6-2.json
711 : a	11950	2279					
711 : c	11266	2169					
711 : d	11693	2245					
711 : n	3496	595					
751 : 0	75	4					
751 : 2	67	4					
751 : 9	2	1				löschen	07_6-2.json
751 : a	67	3					
770 : t	673	343					
772 : t	584	16					
773 : t	12563	8	Reihe				07_6-8.json
775 : t	1409	0					
776 : o	4	0				löschen	07_6-2.json
776 : t	69	7					
780 : t	2111	118	Vorgaenger				07_6-8.json
785 : t	1523	34	Nachfolger				07_6-8.json
787 : t	53857	3640					
856 : q	105166	48616					
856 : u	140267	82163	Link				07_6-8.json
